"idDepartamento","nombre","idPais"
"1","AMAZONAS","1"
"2","ANTIOQUIA","1"
"3","ARAUCA","1"
"4","ATLANTICO","1"
"5","BOLIVAR","1"
"6","BOYACA","1"
"7","CALDAS","1"
"8","CAQUETA","1"
"9","CASANARE","1"
"10","CAUCA","1"
"11","CESAR","1"
"12","CHOCO","1"
"13","CORDOBA","1"
"14","CUNDINAMARCA","1"
"15","GUAINIA","1"
"16","GUAVIARE","1"
"17","HUILA","1"
"18","LA GUAJIRA","1"
"19","MAGDALENA","1"
"20","META","1"
"21","N. DE SANTANDER","1"
"22","NARIÑO","1"
"23","PUTUMAYO","1"
"24","QUINDIO","1"
"25","RISARALDA","1"
"26","SAN ANDRES","1"
"27","SANTANDER","1"
"28","SUCRE","1"
"29","TOLIMA","1"
"30","VALLE DEL CAUCA","1"
"31","VAUPES","1"
"32","VICHADA","1"
