"idPreguntaAmbiente","enunciado","idTipoAmbiente","urlImagen","orden"
"1","Construir gabinetes de cocina","1","1-Construir-gabinetes-de-cosina.png","1"
"2","Guardar dinero en un carro blindado","1","2-Guardar-dinero-en-un-carro-blindado.png","2"
"3","Estudiar viajes al espacio","2","3-Estudiar-astronomia.png","3"
"4","Hacer un mapa del fondo del oceano","2","4-Hacer-un-mapa-del-fondo-del-oceano.png","4"
"5","Dirigir una orquesta sinfonica","3","5-Dirigir-una-orquesta-sinfonica.png","5"
"6","Escribir historias o articulos para una revista o ","3","6-Escribir-historias-o-articulos-para-una-revista-o-periodico.png","6"
"7","Enseñar un ejercicio o rutina individual","4","7-Ensenar-un-ejercicio-o-rutina-individual.png","7"
"8","Hacer turnos de enfermeria en un hospital","4","8-Hacer-turnos-de-enfermeria-en-un-hospital.png","8"
"9","Comprar titulos de deuda o mercancias","5","9-Comprar-titulos-de-deuda-o-mercancias.png","9"
"10","Gerenciar un almacen de reventa","5","10-Gerenciar-un-almacen-de-reventa.png","10"
"11","Desarrollar una hoja electronica en el computador","6","11-Desarrollar-una-hoja-electronica-en-el-computador.png","11"
"12","Corregir formas y registros","6","12-Corregir-formas-y-registros.png","12"
"13","Operar diariamente una finca","1","13-Operar-diariamente-una-finca.png","13"
"14","Pegar ladrillos o azulejos","1","14-Pegar-ladrillos-o-azulejos.png","14"
"15","Estudiar historias de civilizaciones pasadas","2","15-Estudiar-historias-de-civilizaciones-pasadas.png","15"
"16","Estudiar comportamiento animal","2","16-Estudiar-comportamiento-animal.png","16"
"17","Dirigir un juego","3","17-Dirigir-un-juego.png","17"
"18","Crear danzas y rutinas para un show","3","18-Crear-danzas-y-rutinas-para-un-show.png","18"
"19","Dar reanimacion cardiopulmonar a alguien quien lo ","4","19-Dar-reanimacion-cardiopulmonar-a-alguien-quien-lo-necesita.png","19"
"20","Ayudar a la gente con sus problemas emocionales","4","20-Ayudar-a-la-gente-con-sus-problemas-emocionales.png","20"
"21","Vender telefonos y equipos de telecomunicaciones","5","21-Vender-telefonos-y-equipos-de-telecomunicaciones.png","21"
"22","Operar un salon de belleza o barbería","5","22-Operar-un-salon-de-belleza-o-barberia.png","22"
"23","Usar un programa de computador para generar factur","6","23-Usar-un-programa-de-computador-para-generar-facturas.png","23"
"24","Programar conferencias para una organización","6","24-Programar-conferencias-para-una-organizacion.png","24"
"25","Trabajar en una linea de ensamble","1","25-Trabajar-en-una-linea-de-ensamble.png","25"
"26","Reparar electrodomesticos","1","26-Reparar-electrodomesticos.png","26"
"27","Desarrollar una nueva medicina","2","27-desarrollar-una-nueva-medicina.png","27"
"28","Planear un estudio de investigacion","2","28-Planear-un-estudio-de-investigacion.png","28"
"29","Escribir libros o juegos","3","29-Escribir-libros-o-juegos.png","29"
"30","Tocar un instrumento musical","3","30-Tocar-un-instrumento-musical.png","30"
"31","Enseñar a los niños a como leer","4","31-Ensenar-a-los-ninos-a-como-leer.png","31"
"32","Trabajar con niños con discapacidad mental","4","32-Trabajar-con-ninos-con-discapacidad-mental.png","32"
"33","Vender mercancias sobre el telefono","5","33-Vender-mercancias-sobre-el-telefono.png","33"
"34","Guardar y comercializar revistas y periodicos","5","34-guardar-y-comercializar-revistas-periodicos.png","34"
"35","Mantener cuentas de recibos y pagos","6","35-Mantener-cuentas-de-recibos-y-pagos.png","35"
"36","Cargar software de computador en una gran red","6","36-Cargar-software-de-computador-en-una-gran-red.png","36"
"37","Conducir un taxi","1","37-Conducir-un-taxi.png","37"
